pm2.5,Temp,RH,AP,Flag,Date,Time
4.54,19.2,69,750,1,9:58:10,4-Aug-19
3.82,19.2,69,750,0,9:58:11,4-Aug-19
4.48,19.2,69,750,0,9:58:12,4-Aug-19
5.41,19.2,69,750,0,9:58:13,4-Aug-19
5.55,19.2,69,750,0,9:58:14,4-Aug-19
5,19.2,69,752,0,9:58:15,4-Aug-19
5.7,19.2,69,752,0,9:58:16,4-Aug-19
5.09,19.2,69,752,0,9:58:17,4-Aug-19
5.69,19.2,69,752,0,9:58:18,4-Aug-19
5.49,19.2,69,752,0,9:58:19,4-Aug-19
5.49,19.2,69,752,0,9:58:20,4-Aug-19
5.85,19.2,69,752,0,9:58:21,4-Aug-19
6.18,19.2,69,752,0,9:58:22,4-Aug-19
5.38,19.2,69,752,0,9:58:23,4-Aug-19
5.3,19.2,69,752,0,9:58:24,4-Aug-19
7.31,19.2,69,752,0,9:58:25,4-Aug-19
5.47,19.2,69,752,0,9:58:26,4-Aug-19
6.3,19.2,69,752,0,9:58:27,4-Aug-19
4.34,19.2,69,752,0,9:58:28,4-Aug-19
5.36,19.2,69,752,0,9:58:29,4-Aug-19
5.2,19.2,69,752,0,9:58:30,4-Aug-19
5.68,19.2,69,752,0,9:58:31,4-Aug-19
5.41,19.2,69,752,0,9:58:32,4-Aug-19
5.63,19.2,70,752,0,9:58:33,4-Aug-19
5.48,19.2,70,752,0,9:58:34,4-Aug-19
6.07,19.2,70,752,0,9:58:35,4-Aug-19
5.08,19.2,70,752,0,9:58:36,4-Aug-19
4.45,19.2,70,752,0,9:58:37,4-Aug-19
6.26,19.2,70,752,0,9:58:38,4-Aug-19
5.25,19.2,70,752,0,9:58:39,4-Aug-19
4.39,19.2,70,752,0,9:58:40,4-Aug-19
4.93,19.2,70,752,0,9:58:41,4-Aug-19
4.73,19.2,70,752,0,9:58:42,4-Aug-19
4.73,19.2,70,752,0,9:58:43,4-Aug-19
5.57,19.2,70,752,0,9:58:44,4-Aug-19
5.23,19.2,70,752,0,9:58:45,4-Aug-19
4.8,19.2,70,752,0,9:58:46,4-Aug-19
5.82,19.2,70,752,0,9:58:47,4-Aug-19
4.81,19.2,70,752,0,9:58:48,4-Aug-19
4.78,19.2,70,752,0,9:58:49,4-Aug-19
3.99,19.2,70,752,0,9:58:50,4-Aug-19
4.98,19.2,70,752,0,9:58:51,4-Aug-19
5,19.2,70,752,0,9:58:52,4-Aug-19
5.58,19.2,70,752,0,9:58:53,4-Aug-19
5.26,19.2,70,752,0,9:58:54,4-Aug-19
4.97,19.2,70,752,0,9:58:55,4-Aug-19
5.38,19.2,70,752,0,9:58:56,4-Aug-19
5.67,19.2,71,752,0,9:58:57,4-Aug-19
4.76,19.2,71,752,0,9:58:58,4-Aug-19
5.25,19.2,71,752,0,9:58:59,4-Aug-19
5.36,19.2,71,752,0,9:59:00,4-Aug-19
5.06,19.2,71,752,0,9:59:01,4-Aug-19
4.39,19.2,71,752,0,9:59:02,4-Aug-19
4.33,19.2,71,752,0,9:59:03,4-Aug-19
5.39,19.2,71,752,0,9:59:04,4-Aug-19
5.48,19.2,71,752,0,9:59:05,4-Aug-19
4.88,19.2,71,752,0,9:59:06,4-Aug-19
5.22,19.2,71,752,0,9:59:07,4-Aug-19
5.54,19.2,71,752,0,9:59:08,4-Aug-19
5.48,19.2,71,752,0,9:59:09,4-Aug-19
4.53,19.2,71,752,0,9:59:10,4-Aug-19
5.1,19.2,71,752,0,9:59:11,4-Aug-19
5.78,19.2,71,752,0,9:59:12,4-Aug-19
5.07,19.2,71,752,0,9:59:13,4-Aug-19
5.93,19.2,71,752,0,9:59:14,4-Aug-19
5.11,19.2,71,752,0,9:59:15,4-Aug-19
4.59,19.2,71,752,0,9:59:16,4-Aug-19
4.98,19.2,71,752,0,9:59:17,4-Aug-19
5.03,19.2,71,752,0,9:59:18,4-Aug-19
4.33,19.2,71,752,0,9:59:19,4-Aug-19
5.51,19.2,71,752,0,9:59:20,4-Aug-19
4.43,19.2,72,752,0,9:59:21,4-Aug-19
4.04,19.2,72,752,0,9:59:22,4-Aug-19
5.34,19.2,72,752,0,9:59:23,4-Aug-19
5.94,19.2,72,752,0,9:59:24,4-Aug-19
4.99,19.2,72,752,0,9:59:25,4-Aug-19
5.04,19.2,72,752,0,9:59:26,4-Aug-19
4.93,19.2,72,752,0,9:59:27,4-Aug-19
4.01,19.2,72,752,0,9:59:28,4-Aug-19
5.33,19.2,72,752,0,9:59:29,4-Aug-19
4.68,19.2,72,752,0,9:59:30,4-Aug-19
4.38,19.2,72,752,0,9:59:31,4-Aug-19
3.96,19.2,72,752,0,9:59:32,4-Aug-19
5.94,19.2,72,752,0,9:59:33,4-Aug-19
6.97,19.2,72,752,0,9:59:34,4-Aug-19
6.97,19.2,72,752,0,9:59:35,4-Aug-19
4.75,19.2,72,752,0,9:59:36,4-Aug-19
5.64,19.2,72,752,0,9:59:37,4-Aug-19
5.66,19.2,72,752,0,9:59:38,4-Aug-19
5.34,19.2,72,752,0,9:59:39,4-Aug-19
4.88,19.2,72,752,0,9:59:40,4-Aug-19
4.74,19.2,72,752,0,9:59:41,4-Aug-19
3.91,19.2,72,752,0,9:59:42,4-Aug-19
5.23,19.2,72,752,0,9:59:43,4-Aug-19
4.77,19.2,72,752,0,9:59:44,4-Aug-19
4.64,19.2,72,752,0,9:59:45,4-Aug-19
5.04,19.2,72,752,0,9:59:46,4-Aug-19
5.64,19.2,72,752,0,9:59:47,4-Aug-19
4.94,19.2,72,752,0,9:59:48,4-Aug-19
5.26,19.2,72,752,0,9:59:49,4-Aug-19
4.57,19.2,72,752,0,9:59:50,4-Aug-19
3.92,19.2,72,752,0,9:59:51,4-Aug-19
4.48,19.2,72,752,0,9:59:52,4-Aug-19
6.54,19.2,72,752,0,9:59:53,4-Aug-19
4.68,19.2,72,752,0,9:59:54,4-Aug-19
4.04,19.2,72,752,0,9:59:55,4-Aug-19
5.93,19.2,72,752,0,9:59:56,4-Aug-19
5.15,19.2,72,752,0,9:59:57,4-Aug-19
5.23,19.2,72,752,0,9:59:58,4-Aug-19
4.3,19.2,72,752,0,9:59:59,4-Aug-19
5,19.2,72,752,0,10:00:00,4-Aug-19
5,19.2,72,752,0,10:00:01,4-Aug-19
4.5,19.2,72,752,0,10:00:02,4-Aug-19
5.65,19.2,72,752,0,10:00:03,4-Aug-19
4.68,19.2,72,752,0,10:00:04,4-Aug-19
4.25,19.2,72,752,0,10:00:05,4-Aug-19
4.39,19.2,72,752,0,10:00:06,4-Aug-19
4.06,19.2,72,752,0,10:00:07,4-Aug-19
5.08,19.2,72,752,0,10:00:08,4-Aug-19
4.75,19.2,72,752,0,10:00:09,4-Aug-19
4.96,19.2,72,752,0,10:00:10,4-Aug-19
4.73,19.2,72,752,0,10:00:11,4-Aug-19
4.78,19.2,72,752,0,10:00:12,4-Aug-19
