Date,Time,CCNY_O3,CCNY_PM2.5,CCNY_CO,PS 19_PM2.5,Queens College_CO,Queens College_SO2,Queens College_O3,Queens College_NO,Queens College_NO2,Queens College_Nox,Queens College_PM2.5,Queens College_Temp
7/28/2018,0:00:00,0.011,10.4,355.37,9.8,449.94,0.1,0.007,1.405,34.378,35.786,7.8,72.8
7/28/2018,1:00:00,0.012,8.6,302.41,6.5,398.4,0.1,0.02,0.084,18.508,18.593,13,73.1
7/28/2018,2:00:00,0.015,13.6,250.06,4.9,375.98,0.1,0.017,0.092,18.89,18.984,9.8,72.6
7/28/2018,3:00:00,0.009,8.3,272.54,8.1,435.7,0,0.004,1.781,24.16,25.939,8,71.7
7/28/2018,4:00:00,0.003,9.4,397.57,9.3,517.25,0,0,8.756,28.234,36.985,9.7,71.1
7/28/2018,5:00:00,0.003,12.2,499.05,12.5,583.02,0.1,0.002,23.062,26.338,49.396,10.5,71.9
7/28/2018,6:00:00,0.009,12.7,378.59,13.5,419.51,0.2,0.016,8.193,18.325,26.512,12.2,74.6
7/28/2018,7:00:00,0.011,14.6,503.63,11.7,321.42,0.1,0.028,4.968,15.509,20.476,8.7,77.2
7/28/2018,8:00:00,0.014,15.1,449.44,10.9,202.14,0.2,0.042,,,,7,78.4
7/28/2018,9:00:00,0.023,10.3,363.92,7.1,190.5,0.1,0.048,,,,4.4,79.5
7/28/2018,10:00:00,0.048,3.1,238.69,2.6,269.15,0.1,0.049,,,,8,81.9
7/28/2018,11:00:00,0.055,2.2,228.86,7.4,269.81,0.1,0.059,,,,9.5,83.4
7/28/2018,12:00:00,0.061,7.6,279.55,9.3,253.21,0.1,0.073,,,,11.2,84.7
7/28/2018,13:00:00,0.067,11.6,301.11,9.1,263.56,0.2,0.087,0.443,5.961,6.405,9.7,86
7/28/2018,14:00:00,0.088,11.2,255.65,6.5,233.44,0.2,0.079,0.317,4.226,4.545,13.8,84.8
7/28/2018,15:00:00,0.088,10.5,207.26,10.2,200.65,0.2,0.069,0.323,2.716,3.04,9.2,85.8
7/28/2018,16:00:00,0.077,10,209.13,9.7,227.34,0.1,0.063,0.336,3.222,3.559,11.4,84.2
7/28/2018,17:00:00,0.06,9.3,213.09,11.1,225.69,0,0.051,0.37,3.197,3.568,9,81.6
7/28/2018,18:00:00,0.044,12.5,237.97,11.1,240.49,0,0.046,0.256,4.605,4.861,5.3,79.5
7/28/2018,19:00:00,0.039,12.9,221.91,15.5,300.5,0.1,0.042,0.071,6.116,6.186,9.1,79.4
7/28/2018,20:00:00,0.036,8.9,236.78,15.3,380.95,0,0.036,0.062,9.884,9.947,10.1,79.1
7/28/2018,21:00:00,0.031,5.1,244.6,7.9,630.2,0,0.03,0.064,14.545,14.606,10.6,79.2
