Time,,pm10_standard,pm25_standard,pm100_standard,P3um,P5um,P10um,P25um,P50um,P100um,Shinyei,Temperature,Humidity
2019-7-19 1:37:14,,0,0,0,6,2,0,0,0,0,0,22.80,70.27
2019-7-19 1:37:24,,0,0,0,0,0,0,0,0,0,0,22.84,70.20
2019-7-19 1:37:30,,0,0,0,12,0,0,0,0,0,0,22.84,70.30
2019-7-19 1:37:36,,5,6,6,1197,271,23,0,0,0,0,22.84,70.44
2019-7-21 22:59:36,,2,4,4,0,0,0,0,0,0,0,23.62,54.27
2019-7-21 22:59:42,,4,5,5,798,224,39,2,0,0,0,23.61,54.27
2019-7-21 22:59:48,,3,4,4,642,169,24,4,0,0,0,23.65,54.29
2019-7-21 23:0:0,,4,6,6,0,0,0,0,0,0,0,23.70,54.31
2019-7-21 23:0:5,,4,6,7,0,0,0,0,0,0,0,23.71,54.29
2019-7-21 23:0:11,,3,6,6,747,226,42,0,0,0,0,23.70,54.29
2019-7-21 23:0:14,,3,5,5,714,203,34,2,0,0,0,23.72,54.31
2019-7-21 23:0:22,,2,4,5,690,191,28,4,2,0,0,23.75,54.34
2019-7-21 23:0:27,,3,5,6,807,225,34,6,2,0,0,23.71,54.34
2019-7-21 23:0:34,,4,6,7,894,261,48,6,2,0,0,23.77,54.27
2019-7-21 23:0:40,,3,6,7,876,255,46,4,2,0,0,23.76,54.16
2019-7-21 23:0:46,,4,5,6,939,265,42,4,0,0,0,23.79,54.6
2019-7-21 23:0:51,,4,5,6,924,258,34,2,0,0,0,23.79,54.2
2019-7-21 23:1:0,,3,5,5,798,220,22,4,0,0,0,23.79,53.97
2019-7-21 23:1:8,,2,4,5,822,234,26,6,0,0,0,23.79,53.93
2019-7-21 23:1:16,,2,3,4,708,201,24,4,0,0,0,23.82,53.86
2019-7-21 23:1:23,,2,3,4,687,195,26,4,0,0,0,23.82,53.84
2019-7-21 23:1:31,,3,4,5,747,206,22,2,0,0,0,23.82,53.77
2019-7-21 23:1:36,,4,4,4,789,212,18,0,0,0,0,23.86,53.75
2019-7-21 23:1:43,,3,4,5,900,253,28,2,0,0,0,23.86,53.72
2019-7-21 23:1:50,,4,6,7,864,240,32,6,0,0,0,23.86,53.65
2019-7-21 23:1:56,,3,6,6,813,221,32,6,0,0,0,23.87,53.61
2019-7-21 23:2:2,,3,6,6,738,203,32,8,0,0,0,23.89,53.63
2019-7-21 23:2:8,,3,5,5,678,179,32,6,0,0,0,23.89,53.56
2019-7-21 23:2:15,,2,4,4,684,177,28,4,0,0,0,23.90,53.56
2019-7-21 23:2:23,,3,5,5,663,183,28,6,0,0,0,23.94,53.54
2019-7-21 23:2:31,,3,4,5,657,180,22,4,0,0,0,23.95,53.47
2019-7-21 23:2:37,,3,4,5,681,189,22,4,0,0,0,23.95,53.41
2019-7-21 23:2:44,,2,2,2,609,158,14,0,0,0,0,23.95,53.38
2019-7-21 23:2:51,,3,4,4,681,169,16,2,0,0,0,23.95,53.31
2019-7-21 23:2:57,,3,5,5,780,196,20,2,0,0,0,23.96,53.29
2019-7-21 23:3:4,,2,3,3,780,198,22,2,0,0,0,23.98,53.27
2019-7-21 23:3:10,,2,4,4,720,189,26,4,0,0,0,23.98,53.22
2019-7-21 23:3:17,,3,4,4,762,213,32,2,0,0,0,23.98,53.22
2019-7-21 23:3:25,,3,5,7,816,230,43,6,2,2,0,24.0,53.18
2019-7-21 23:3:30,,3,5,7,852,232,51,6,2,2,0,24.3,53.18
2019-7-21 23:3:35,,5,7,8,930,259,49,4,2,2,0,24.1,53.15
2019-7-21 23:3:43,,5,7,9,978,266,55,4,2,2,0,24.2,53.11
2019-7-21 23:3:50,,5,6,6,924,251,40,0,0,0,0,24.1,53.4
2019-7-21 23:3:59,,5,6,6,936,261,36,0,0,0,0,24.5,53.2
2019-7-21 23:4:3,,4,6,6,942,265,34,0,0,0,0,24.3,52.97
2019-7-21 23:4:10,,4,5,5,855,236,32,0,0,0,0,24.5,52.93
2019-7-21 23:4:17,,3,4,4,783,217,34,0,0,0,0,24.5,52.93
2019-7-21 23:4:23,,2,3,3,726,198,28,0,0,0,0,24.9,52.88
2019-7-21 23:4:30,,2,3,3,594,162,28,0,0,0,0,24.10,52.86
2019-7-21 23:4:38,,4,5,5,747,212,30,0,0,0,0,24.9,52.83
2019-7-21 23:4:43,,4,6,6,768,226,30,2,0,0,0,24.12,52.79
2019-7-21 23:4:50,,4,6,6,804,242,30,2,0,0,0,24.11,52.72
2019-7-21 23:4:56,,4,6,6,819,238,32,2,0,0,0,24.11,52.70
2019-7-21 23:5:1,,4,5,5,771,215,26,2,0,0,0,24.11,52.68
2019-7-21 23:5:9,,2,2,2,624,163,20,0,0,0,0,24.13,52.65
2019-7-21 23:5:16,,3,4,4,696,179,26,0,0,0,0,24.12,52.61
2019-7-21 23:5:22,,3,4,4,762,197,26,2,0,0,0,24.12,52.56
2019-7-21 23:5:28,,4,5,5,765,211,24,2,0,0,0,24.15,52.50
2019-7-21 23:5:34,,3,4,4,858,231,26,2,0,0,0,24.13,52.49
2019-7-21 23:5:40,,3,4,4,888,236,20,2,0,0,0,24.13,52.45
2019-7-21 23:5:47,,4,5,5,807,227,26,0,0,0,0,24.14,52.45
2019-7-21 23:5:55,,3,4,4,810,220,38,2,0,0,0,24.14,52.40
2019-7-21 23:6:2,,3,5,5,804,233,42,2,0,0,0,24.15,52.38
2019-7-21 23:6:8,,2,4,5,756,215,36,4,2,0,0,24.15,52.36
2019-7-21 23:6:13,,3,5,6,828,236,43,8,2,0,0,24.15,52.36
2019-7-21 23:6:20,,4,6,8,834,236,44,8,2,0,0,24.18,52.34
2019-7-21 23:6:26,,3,7,8,792,215,53,8,2,0,0,24.19,52.31
2019-7-21 23:6:31,,3,7,8,798,213,59,8,2,0,0,24.18,52.29
2019-7-21 23:6:39,,3,6,7,771,208,50,4,2,0,0,24.20,52.27
2019-7-21 23:6:47,,3,5,6,705,201,47,2,2,0,0,24.20,52.22
2019-7-21 23:6:55,,2,4,5,690,200,34,2,2,0,0,24.20,52.16
2019-7-21 23:7:0,,4,5,6,720,207,32,2,2,0,0,24.20,52.15
2019-7-21 23:7:6,,3,5,5,774,226,41,4,0,0,0,24.20,52.9
2019-7-21 23:7:11,,3,5,5,795,227,43,4,0,0,0,24.22,52.9
2019-7-21 23:7:18,,3,5,6,720,191,39,6,0,0,0,24.22,52.6
2019-7-21 23:7:26,,2,4,5,690,191,37,6,0,0,0,24.22,52.4
2019-7-21 23:7:32,,1,2,3,576,155,26,4,0,0,0,24.22,52.0
2019-7-21 23:7:39,,2,2,2,567,158,18,2,0,0,0,24.23,51.97
2019-7-21 23:7:44,,2,4,4,699,195,18,4,0,0,0,24.22,51.97
2019-7-21 23:7:52,,3,5,5,768,213,38,8,0,0,0,24.23,51.95
2019-7-21 23:7:58,,3,5,5,828,230,36,6,0,0,0,24.25,51.93
2019-7-21 23:8:5,,3,5,6,882,246,46,6,0,0,0,24.26,51.93
2019-7-21 23:8:12,,3,5,5,816,234,44,4,0,0,0,24.25,51.93
2019-7-21 23:8:18,,3,4,4,789,222,34,2,0,0,0,24.25,51.88
2019-7-21 23:8:25,,4,5,5,792,226,30,4,0,0,0,24.27,51.86
2019-7-21 23:8:31,,4,6,6,801,226,34,4,0,0,0,24.27,51.84
2019-7-21 23:8:37,,3,5,5,741,207,36,4,0,0,0,24.26,51.81
2019-7-21 23:8:44,,3,5,5,828,232,38,2,0,0,0,24.25,51.79
2019-7-21 23:8:50,,3,6,6,789,217,42,0,0,0,0,24.28,51.75
2019-7-21 23:8:57,,4,5,5,789,221,34,0,0,0,0,24.26,51.72
2019-7-21 23:9:1,,4,6,6,876,238,32,2,0,0,0,24.25,51.74
2019-7-21 23:9:9,,3,5,5,732,194,30,2,0,0,0,24.26,51.70
2019-7-21 23:9:16,,2,3,3,729,194,26,2,0,0,0,24.28,51.70
2019-7-21 23:9:22,,3,6,6,759,204,36,6,0,0,0,24.26,51.68
2019-7-21 23:9:28,,4,5,5,747,209,34,4,0,0,0,24.27,51.68
2019-7-21 23:9:33,,4,6,6,882,248,34,4,0,0,0,24.29,51.70
2019-7-21 23:9:38,,4,6,6,909,257,36,4,0,0,0,24.29,51.68
2019-7-21 23:9:46,,4,6,6,876,246,34,0,0,0,0,24.28,51.65
2019-7-21 23:9:53,,4,5,5,852,241,28,0,0,0,0,24.31,51.63
2019-7-21 23:9:58,,4,5,5,771,215,22,0,0,0,0,24.29,51.61
2019-7-21 23:10:5,,3,5,5,729,204,18,4,0,0,0,24.31,51.61
2019-7-21 23:10:11,,3,5,5,690,195,16,4,0,0,0,24.30,51.56
2019-7-21 23:10:17,,2,4,4,714,195,24,4,0,0,0,24.32,51.54
2019-7-21 23:10:23,,3,6,6,723,204,34,4,0,0,0,24.32,51.50
2019-7-21 23:10:29,,4,6,6,777,216,48,0,0,0,0,24.32,51.50
2019-7-21 23:10:37,,4,6,6,822,230,56,0,0,0,0,24.34,51.45
2019-7-21 23:10:43,,3,4,4,774,219,50,0,0,0,0,24.34,51.41
2019-7-21 23:10:49,,4,5,5,798,228,42,0,0,0,0,24.34,51.43
2019-7-21 23:10:55,,4,5,5,756,217,24,0,0,0,0,24.34,51.40
2019-7-21 23:11:1,,3,4,4,663,190,14,0,0,0,0,24.36,51.38
2019-7-21 23:11:7,,4,4,4,705,204,16,0,0,0,0,24.36,51.38
2019-7-21 23:11:13,,3,4,4,651,190,22,0,0,0,0,24.34,51.34
2019-7-21 23:11:19,,4,4,4,726,215,24,0,0,0,0,24.39,51.29
2019-7-21 23:11:25,,3,4,4,690,208,30,0,0,0,0,24.37,51.31
2019-7-21 23:11:32,,4,5,5,774,227,38,0,0,0,0,24.38,51.29
2019-7-21 23:11:38,,5,6,6,861,256,38,0,0,0,0,24.40,51.25
